시도,관용승용,관용승합,관용화물,자가용승용,자가용승합,자가용화물,영업용(개인택시 포함)승용,영업용(개인택시 포함)승합,영업용(개인택시 포함)화물
서울,57.0,5.0,,2210,,,142.0,4.0,
부산,7.0,,,1234,,,8.0,20.0,
대구,4.0,,,308,,,8.0,2.0,
인천,9.0,,,875,10.0,,134.0,5.0,3.0
광주,33.0,,,818,,,11.0,6.0,
대전,8.0,,,865,,,1.0,8.0,
울산,57.0,,,2076,,,45.0,6.0,2.0
세종,9.0,,,129,1.0,,,,
경기,67.0,,,3520,,,41.0,1.0,
강원,9.0,,,1731,,,9.0,,
충북,12.0,,,939,,,16.0,,
충남,30.0,,,734,,,2.0,15.0,
전북,29.0,1.0,,1024,,,7.0,15.0,
전남,6.0,,,345,,,1.0,,
경북,,,,64,,,,,
경남,99.0,,,1488,,,11.0,29.0,
제주,,,,4,,,,,
